text,label,language,source
राजस्व विभाग: तपाईंको कर फिर्ता (Tax Refund) बाँकी छ। प्राप्त गर्न http://बैंक-अपडेट.नेट मा क्लिक गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको बिमा प्रिमियम भुक्तानी भएकोमा धन्यवाद।,Safe,NP,chatgpt
तपाईंको बैंक कार्ड रद्द हुन लागेको छ। नवीकरण गर्न http://बैंक-अपडेट.नेट मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको नेटफ्लिक्स सदस्यता समाप्त हुन लागेको छ। भुक्तानी जानकारी अपडेट गर्न [लिङ्क] मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको बैंक कार्ड रद्द हुन लागेको छ। नवीकरण गर्न https://सुरक्षित-लगइन.वेब मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको इमेल इनबक्स भरिएको छ। थप ठाउँ पाउन यहाँ क्लिक गर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
तपाईंको फेसबुक पासवर्ड परिवर्तन भएको छ। यदि तपाईंले गर्नुभएको होइन भने यहाँ https://नक्कली-लिङ्क.कम क्लिक गरी रिकभर गर्नुहोस्।,Phishing,NP,chatgpt
नयाँ सुरक्षा फिचर: आफ्नो खाता सुरक्षित राख्न तुरुन्तै लगइन गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको डेलिभरी ठेगाना अपूर्ण छ। सामान प्राप्त गर्न http://बैंक-अपडेट.नेट मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको बैंक कार्ड रद्द हुन लागेको छ। नवीकरण गर्न [लिङ्क] मा जानुहोस्।,Phishing,NP,chatgpt
वार्षिकोत्सवको अवसरमा हाम्रा सबै ग्राहकहरूलाई १०% छुटको व्यवस्था गरिएको छ।,Safe,NP,chatgpt
"बधाई छ! तपाईंले रु ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यो फारम भर्नुहोस्: http://बैंक-अपडेट.नेट",Phishing,NP,chatgpt
तपाईंको बैंक कार्ड रद्द हुन लागेको छ। नवीकरण गर्न https://नक्कली-लिङ्क.कम मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको खाताको मासिक स्टेटमेन्ट तयार छ। फाइल संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको नबिल बैंक खाता ब्लक गरिएको छ। तुरुन्तै [लिङ्क] मा गएर केवाइसी (KYC) अपडेट गर्नुहोस्।,Phishing,NP,chatgpt
महत्त्वपूर्ण: तपाईंको बैंक प्रोफाइलमा मोबाइल नम्बर परिवर्तन भएको छ। होइन भने यहाँ https://नक्कली-लिङ्क.कम थिच्नुहोस्।,Phishing,NP,chatgpt
सरकारी अनुदानका लागि तपाईं छानिनुभएको छ। आवेदन दिनुहोस्: http://बैंक-अपडेट.नेट,Phishing,NP,chatgpt
"बधाई छ! तपाईंले रु १,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यो फारम भर्नुहोस्: http://बैंक-अपडेट.नेट",Phishing,NP,chatgpt
महत्त्वपूर्ण: तपाईंको बैंक प्रोफाइलमा मोबाइल नम्बर परिवर्तन भएको छ। होइन भने यहाँ http://बैंक-अपडेट.नेट थिच्नुहोस्।,Phishing,NP,chatgpt
